INSTNM,CITY,STABBR,ZIP,CONTROL,COSTT4_A,COSTT4_P,TUITIONFEE_IN,TUITIONFEE_OUT,TUITIONFEE_PROG,BOOKSUPPLY,NPT4_PUB,NPT4_PRIV,PFTFAC,ADM_RATE,C100_4,MD_EARN_WNE_P6,MD_EARN_WNE_P8,MD_EARN_WNE_P10
Midwestern State University,Wichita Falls,TX,76308-2099,1,19972.0,nan,9796.0,11746.0,nan,1050.0,10407.0,nan,0.7044,0.7096,0.2234,42741.0,46981.0,50396.0
William Edge Institute,New Braunfels,TX,78130-8216,3,nan,17583.0,nan,nan,15500.0,nan,nan,13243.0,nan,nan,nan,15252.0,20001.0,30205.0
Wade College,Dallas,TX,75207,3,22459.0,nan,14955.0,14955.0,nan,0.0,nan,19252.0,0.3214,nan,nan,31867.0,34455.0,33188.0
Southern Careers Institute-Austin,Austin,TX,78744,3,nan,24710.0,nan,nan,13300.0,nan,nan,21845.0,0.6897,nan,nan,21291.0,22338.0,23755.0
Tint School of Makeup & Cosmetology,Irving,TX,75061-4235,3,nan,13171.0,nan,nan,15225.0,nan,nan,9567.0,nan,nan,nan,24620.0,20679.0,18823.0
Navarro College,Corsicana,TX,75110,1,16776.0,nan,2798.0,6368.0,nan,1672.0,14373.0,nan,0.3614,nan,nan,29175.0,32778.0,35615.0
Lone Star College System,The Woodlands,TX,77381-4399,1,13738.0,nan,2160.0,6000.0,nan,2550.0,8711.0,nan,1.0,nan,nan,32129.0,36637.0,39901.0
University of North Texas,Denton,TX,76203-1277,1,23770.0,nan,11090.0,20906.0,nan,1000.0,14122.0,nan,0.7415,0.8398,0.3709,43194.0,48309.0,51232.0
Northeast Texas Community College,Mount Pleasant,TX,75455,1,13758.0,nan,3149.0,6449.0,nan,1366.0,7965.0,nan,1.0,nan,nan,29769.0,32646.0,31979.0
Oblate School of Theology,San Antonio,TX,78216-6693,2,nan,nan,nan,nan,nan,nan,nan,nan,0.8148,nan,nan,nan,nan,nan
Ocean Corporation,Houston,TX,77099,3,nan,31614.0,nan,nan,22800.0,nan,nan,26545.0,nan,nan,nan,50944.0,56158.0,58601.0
Odessa College,Odessa,TX,79764,1,12024.0,nan,2280.0,4398.0,nan,522.0,5985.0,nan,0.4123,nan,nan,34818.0,39038.0,40510.0
Ogle School Hair Skin Nails-Arlington,Arlington,TX,76013,3,nan,25982.0,nan,nan,14700.0,nan,nan,22062.0,nan,nan,nan,24409.0,25028.0,25028.0
Ogle School Hair Skin Nails-Ft Worth,Fort Worth,TX,76132-3638,3,nan,26408.0,nan,nan,14700.0,nan,nan,22938.0,nan,nan,nan,22019.0,23740.0,26659.0
Our Lady of the Lake University,San Antonio,TX,78207-4689,2,40753.0,nan,29926.0,29926.0,nan,nan,nan,18376.0,0.4201,0.7397,0.2997,37750.0,38893.0,41813.0
The University of Texas Rio Grande Valley,Edinburg,TX,78539-2999,1,14250.0,nan,8917.0,18733.0,nan,1240.0,3743.0,nan,0.8337,0.8239,0.2434,35955.0,42116.0,45895.0
Texas Southmost College,Brownsville,TX,78520,1,9790.0,nan,3148.0,4948.0,nan,1344.0,3896.0,nan,0.348,nan,nan,30803.0,34519.0,38124.0
Panola College,Carthage,TX,75633-2397,1,13252.0,nan,2064.0,4560.0,nan,1984.0,6492.0,nan,1.0,nan,nan,28762.0,29243.0,34374.0
Paris Junior College,Paris,TX,75460,1,13282.0,nan,2460.0,5460.0,nan,1500.0,7079.0,nan,0.5133,nan,nan,27812.0,30427.0,31799.0
Paul Quinn College,Dallas,TX,75241,2,19189.0,nan,9992.0,9992.0,nan,1000.0,nan,14208.0,0.325,0.6187,0.1149,25131.0,29075.0,35651.0
Prairie View A & M University,Prairie View,TX,77446,1,25164.0,nan,11099.0,26398.0,nan,1362.0,16000.0,nan,0.8644,0.7637,0.1397,33473.0,37427.0,40354.0
Ranger College,Ranger,TX,76470,1,12248.0,nan,2560.0,6010.0,nan,1625.0,7896.0,nan,0.3525,nan,nan,28819.0,33876.0,37916.0
Aviation Institute of Maintenance-Houston,Houston,TX,77061,3,26027.0,nan,16757.0,16757.0,nan,1000.0,nan,20229.0,nan,nan,nan,44099.0,nan,nan
Rice University,Houston,TX,77005-1827,2,67102.0,nan,51107.0,51107.0,nan,1250.0,nan,16076.0,0.8387,0.1089,0.8488,63654.0,73179.0,77683.0
Saint Edward's University,Austin,TX,78704-6489,2,61707.0,nan,49076.0,49076.0,nan,1200.0,nan,26110.0,0.4926,0.9131,0.5501,44592.0,48472.0,53186.0
St Philip's College,San Antonio,TX,78203-2098,1,12208.0,nan,3112.0,14122.0,nan,1000.0,6829.0,nan,0.5783,nan,nan,30219.0,32588.0,35234.0
University of St Thomas,Houston,TX,77006-4696,2,42652.0,nan,31560.0,31560.0,nan,1094.0,nan,18510.0,0.8994,0.9609,0.3632,49585.0,49652.0,53223.0
Sam Houston State University,Huntsville,TX,77340,1,22885.0,nan,8736.0,18552.0,nan,1380.0,15035.0,nan,0.8015,0.925,0.3369,42076.0,45849.0,50125.0
San Antonio College,San Antonio,TX,78212-3941,1,11854.0,nan,3112.0,14122.0,nan,1000.0,6564.0,nan,0.5336,nan,nan,29861.0,33403.0,35467.0
San Jacinto Community College,Pasadena,TX,77505,1,14659.0,nan,1872.0,5040.0,nan,1668.0,9638.0,nan,0.4196,nan,nan,33702.0,38303.0,41371.0
Schreiner University,Kerrville,TX,78028-5697,2,41896.0,nan,31938.0,31938.0,nan,100.0,nan,25182.0,0.6126,0.9615,0.4396,38442.0,42544.0,41064.0
Seguin Beauty School-Seguin,Seguin,TX,78155,3,nan,25104.0,nan,nan,15550.0,nan,nan,20172.0,nan,nan,nan,19528.0,17842.0,19625.0
St. Mary's University,San Antonio,TX,78228,2,42354.0,nan,33720.0,33720.0,nan,1300.0,nan,18658.0,0.6637,0.8543,0.4776,40673.0,48858.0,52285.0
South Plains College,Levelland,TX,79336,1,11908.0,nan,2260.0,4276.0,nan,1160.0,6358.0,nan,0.518,nan,nan,31695.0,35851.0,38836.0
South Texas Barber College Inc,Corpus Christi,TX,78415,3,nan,11995.0,nan,nan,8300.0,nan,nan,6763.0,nan,nan,nan,17120.0,14128.0,22070.0
South Texas College of Law Houston,Houston,TX,77002-7006,2,nan,nan,nan,nan,nan,nan,nan,nan,0.3806,nan,nan,nan,nan,nan
South Texas Vocational Technical Institute-Weslaco,Weslaco,TX,78599,3,nan,33088.0,nan,nan,20790.0,nan,nan,27543.0,nan,nan,nan,24176.0,25002.0,24710.0
Miller-Motte College-STVT-McAllen,McAllen,TX,78503,3,nan,32743.0,nan,nan,19735.0,nan,nan,27636.0,nan,nan,nan,24668.0,26537.0,28204.0
Southern Methodist University,Dallas,TX,75275-0221,2,76346.0,nan,58540.0,58540.0,nan,800.0,nan,38208.0,0.6844,0.5267,0.732,60398.0,68113.0,72514.0
Southwest School of Business and Technical Careers-San Antonio,San Antonio,TX,78221-0138,3,nan,27056.0,nan,nan,14500.0,nan,nan,20293.0,nan,nan,nan,20400.0,20189.0,22673.0
Southwest Texas Junior College,Uvalde,TX,78801-6297,1,13523.0,nan,2502.0,5886.0,nan,1840.0,7120.0,nan,0.7176,nan,nan,27430.0,31435.0,35058.0
Southwestern Assemblies of God University,Waxahachie,TX,75165,2,34268.0,nan,19834.0,19834.0,nan,1324.0,nan,23976.0,0.4924,0.8876,0.4339,34652.0,36189.0,39942.0
Southwestern University,Georgetown,TX,78626,2,57825.0,nan,45120.0,45120.0,nan,1300.0,nan,27013.0,0.7762,0.4937,0.664,43899.0,51232.0,57053.0
Stephen F Austin State University,Nacogdoches,TX,75961,1,22178.0,nan,10600.0,21616.0,nan,1202.0,13393.0,nan,0.7082,0.7611,0.3438,38895.0,41976.0,45914.0
Texas State University,San Marcos,TX,78666,1,23453.0,nan,10855.0,22307.0,nan,760.0,14887.0,nan,0.7805,0.8454,0.3138,43773.0,47908.0,50671.0
Southwestern Adventist University,Keene,TX,76059,2,31865.0,nan,22836.0,22836.0,nan,1200.0,nan,20208.0,0.4123,0.623,0.2516,39054.0,39989.0,47194.0
Southwestern Christian College,Terrell,TX,75160-4812,2,16487.0,nan,8132.0,8132.0,nan,1168.0,nan,8495.0,0.4783,nan,0.3333,23197.0,29990.0,25819.0
Sul Ross State University,Alpine,TX,79832,1,20332.0,nan,8777.0,21047.0,nan,1242.0,11644.0,nan,0.6471,0.8083,0.1921,33892.0,36956.0,43314.0
Tarleton State University,Stephenville,TX,76401-0000,1,22730.0,nan,8276.0,17448.0,nan,1036.0,20307.0,nan,0.6352,0.5775,0.301,41650.0,44889.0,46642.0
Tarrant County College District,Fort Worth,TX,76102,1,10851.0,nan,1728.0,8235.0,nan,1631.0,5147.0,nan,0.3799,nan,nan,31990.0,36002.0,39713.0
Temple College,Temple,TX,76504-7435,1,11069.0,nan,2736.0,6432.0,nan,1300.0,4854.0,nan,1.0,nan,nan,28083.0,33029.0,36550.0
University of Texas Southwestern Medical Center,Dallas,TX,75390-9096,1,nan,nan,nan,nan,nan,nan,nan,nan,0.9231,nan,nan,nan,66051.0,69599.0
The University of Texas Health Science Center at San Antonio,San Antonio,TX,78229-3900,1,nan,nan,nan,nan,nan,nan,nan,nan,0.728,nan,nan,64621.0,71399.0,69397.0
The University of Texas Medical Branch at Galveston,Galveston,TX,77555-0129,1,nan,nan,nan,nan,nan,nan,nan,nan,0.985,nan,nan,71775.0,79361.0,77627.0
Texarkana College,Texarkana,TX,75599,1,12704.0,nan,2404.0,5236.0,nan,1376.0,6198.0,nan,0.6807,nan,nan,25819.0,27392.0,32676.0
Texas A & M University-Kingsville,Kingsville,TX,78363,1,22645.0,nan,9779.0,25266.0,nan,1244.0,13027.0,nan,0.8023,0.8792,0.23,39943.0,43280.0,47368.0
Texas A & M University-College Station,College Station,TX,77843-1248,1,29920.0,nan,12783.0,39340.0,nan,1222.0,18919.0,nan,0.8721,0.6327,0.5615,54342.0,60186.0,66566.0
The University of Texas at Arlington,Arlington,TX,76013,1,23902.0,nan,11378.0,28524.0,nan,1206.0,15509.0,nan,0.6345,0.8775,0.278,49852.0,51519.0,54633.0
The University of Texas at Austin,Austin,TX,78705,1,27397.0,nan,11448.0,40032.0,nan,714.0,18350.0,nan,0.8418,0.3195,0.698,54287.0,60603.0,67839.0
The University of Texas at Dallas,Richardson,TX,75080-3021,1,27120.0,nan,13992.0,38970.0,nan,1200.0,15526.0,nan,0.7715,0.7936,0.5226,52187.0,56110.0,60595.0
The University of Texas at El Paso,El Paso,TX,79968-0691,1,18291.0,nan,9450.0,24516.0,nan,1632.0,9000.0,nan,0.6956,0.9997,0.1819,35797.0,41897.0,44770.0
The University of Texas at Tyler,Tyler,TX,75799-6699,1,20730.0,nan,9146.0,23736.0,nan,1292.0,11968.0,nan,0.7359,0.9163,0.2788,42705.0,48825.0,49446.0
Texas Chiropractic College Foundation Inc,Pasadena,TX,77505-1699,2,nan,nan,nan,nan,nan,nan,nan,nan,0.9375,nan,nan,nan,nan,46845.0
Texas Christian University,Fort Worth,TX,76129,2,68072.0,nan,51660.0,51660.0,nan,900.0,nan,39942.0,0.9986,0.4803,0.6995,54181.0,56546.0,61325.0
Texas College,Tyler,TX,75702,2,21620.0,nan,10000.0,10000.0,nan,2300.0,nan,15170.0,0.8684,nan,0.0588,27902.0,30575.0,31196.0
University of North Texas Health Science Center,Fort Worth,TX,76107-2699,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Texas Lutheran University,Seguin,TX,78155-5999,2,42208.0,nan,31850.0,31850.0,nan,1000.0,nan,19078.0,0.5867,0.593,0.3689,42438.0,45756.0,51215.0
The University of Texas Permian Basin,Odessa,TX,79762-0001,1,17323.0,nan,4837.0,9745.0,nan,1000.0,10591.0,nan,0.5321,0.879,0.2298,46676.0,47937.0,50006.0
The University of Texas at San Antonio,San Antonio,TX,78249-1644,1,18923.0,nan,8566.0,20572.0,nan,1000.0,10549.0,nan,0.7636,0.8354,0.2515,42200.0,48104.0,50810.0
Texas Southern University,Houston,TX,77004,1,23173.0,nan,9173.0,21443.0,nan,1646.0,17914.0,nan,0.6894,0.6637,0.0732,30663.0,32536.0,35199.0
Texas Tech University,Lubbock,TX,79409-5005,1,23191.0,nan,11600.0,23870.0,nan,1200.0,16194.0,nan,0.8625,0.7003,0.3723,47287.0,53137.0,58435.0
Texas Wesleyan University,Fort Worth,TX,76105-1536,2,47135.0,nan,33408.0,33408.0,nan,2400.0,nan,21682.0,0.3414,0.4679,0.2362,40009.0,45305.0,49382.0
Texas Woman's University,Denton,TX,76204,1,19418.0,nan,8255.0,18071.0,nan,1050.0,9684.0,nan,0.9805,0.9368,0.2593,43233.0,47625.0,49724.0
Trinity University,San Antonio,TX,78212-7200,2,60664.0,nan,46456.0,46456.0,nan,1000.0,nan,23953.0,0.7911,0.3362,0.6662,54189.0,57250.0,65315.0
The University of Texas Health Science Center at Houston,Houston,TX,77030,1,nan,nan,nan,nan,nan,nan,nan,nan,0.5922,nan,nan,70514.0,75246.0,78163.0
Texas Tech University Health Sciences Center,Lubbock,TX,79430,1,nan,nan,nan,nan,nan,nan,nan,nan,0.9625,nan,nan,72358.0,77396.0,78778.0
Tyler Junior College,Tyler,TX,75701,1,16364.0,nan,2962.0,5482.0,nan,1300.0,10997.0,nan,0.4544,nan,nan,29497.0,33351.0,36774.0
Universal Technical Institute of Texas Inc.,Houston,TX,77073,3,nan,23755.0,nan,nan,46100.0,nan,nan,18559.0,nan,nan,nan,42923.0,46217.0,51180.0
UCAS University of Cosmetology Arts & Sciences-McAllen,McAllen,TX,78504,3,nan,18346.0,nan,nan,14850.0,nan,nan,12514.0,nan,nan,nan,16625.0,16889.0,16428.0
Vernon College,Vernon,TX,76384-4092,1,11550.0,nan,3560.0,5960.0,nan,1600.0,4669.0,nan,0.5667,nan,nan,31510.0,35599.0,37286.0
Victoria Beauty College Inc,Victoria,TX,77901-6233,3,nan,21178.0,nan,nan,15000.0,nan,nan,18447.0,nan,nan,nan,18483.0,18906.0,18279.0
Victoria College,Victoria,TX,77901,1,10998.0,nan,2496.0,4704.0,nan,1600.0,5635.0,nan,0.3333,nan,nan,32123.0,36178.0,37808.0
Vogue College of Cosmetology-McAllen,McAllen,TX,78501-1945,3,nan,24406.0,nan,nan,14795.0,nan,nan,19441.0,nan,nan,nan,17106.0,nan,nan
Wayland Baptist University,Plainview,TX,79072,2,35240.0,nan,21304.0,21304.0,nan,1000.0,nan,25086.0,1.0,0.8144,0.0783,42281.0,43821.0,45166.0
Weatherford College,Weatherford,TX,76086-5699,1,13870.0,nan,3300.0,7050.0,nan,1800.0,8323.0,nan,0.9926,nan,nan,31703.0,35231.0,35860.0
West Texas A & M University,Canyon,TX,79016-0001,1,20456.0,nan,8456.0,9903.0,nan,1000.0,15033.0,nan,0.7986,0.5825,0.2721,39811.0,43155.0,45739.0
Western Texas College,Snyder,TX,79549,1,12530.0,nan,2790.0,5160.0,nan,1559.0,5480.0,nan,1.0,nan,nan,31833.0,37328.0,39877.0
Wharton County Junior College,Wharton,TX,77488,1,9833.0,nan,2400.0,4872.0,nan,1375.0,5315.0,nan,0.6355,nan,nan,33739.0,38733.0,39564.0
Wiley College,Marshall,TX,75670,2,23938.0,nan,13500.0,13500.0,nan,600.0,nan,14903.0,0.6429,nan,0.1842,22670.0,28741.0,32763.0
Bridgerland Technical College,Logan,UT,84321,1,nan,nan,nan,nan,3005.0,nan,nan,nan,nan,nan,nan,32263.0,34008.0,34234.0
Brigham Young University,Provo,UT,84602,2,18936.0,nan,5970.0,5970.0,nan,896.0,nan,13474.0,0.7176,0.6925,0.2065,49424.0,59798.0,70785.0
Brigham Young University-Hawaii,Laie,HI,96762-1294,2,19641.0,nan,5890.0,5890.0,nan,1310.0,nan,14499.0,1.0,0.7502,0.2668,38880.0,39540.0,49232.0
Broadview College,West Jordan,UT,84088,3,27859.0,nan,17712.0,17712.0,nan,72.0,nan,23355.0,nan,nan,0.0,28550.0,32360.0,33028.0
Cameo College of Essential Beauty,Murray,UT,84107,3,nan,28079.0,nan,nan,13704.0,nan,nan,23742.0,nan,nan,nan,26584.0,26472.0,25720.0
Collectiv Academy,Sandy,UT,84094,3,nan,14847.0,nan,nan,15900.0,nan,nan,11035.0,nan,nan,nan,18728.0,24430.0,nan
Davis Technical College,Kaysville,UT,84037-2699,1,nan,7556.0,nan,nan,3958.0,nan,4102.0,nan,nan,nan,nan,29568.0,33825.0,36300.0
Dixie State University,Saint George,UT,84770-3876,1,17802.0,nan,5662.0,16260.0,nan,800.0,14459.0,nan,0.3874,nan,0.1352,32562.0,36616.0,40846.0
Evans Hairstyling College-Cedar City,Cedar City,UT,84720,3,nan,10181.0,nan,nan,14000.0,nan,nan,6281.0,nan,nan,nan,nan,17711.0,19518.0
Evans Hairstyling College-St George,Saint George,UT,84770,3,nan,9742.0,nan,nan,14000.0,nan,nan,4703.0,nan,nan,nan,17943.0,17811.0,nan
Paul Mitchell the School-Salt Lake City,Holladay,UT,84117,3,nan,19118.0,nan,nan,17441.0,nan,nan,16025.0,nan,nan,nan,22231.0,25042.0,28768.0
Eagle Gate College-Murray,Murray,UT,84123-6965,3,22097.0,nan,14900.0,14900.0,nan,0.0,nan,17762.0,0.32,nan,1.0,29481.0,31151.0,32969.0
Ensign College,Salt Lake City,UT,84101-3500,2,12291.0,nan,3550.0,3550.0,nan,200.0,nan,7971.0,0.0702,nan,nan,36585.0,43149.0,43935.0
Ogden-Weber Technical College,Ogden,UT,84404-4089,1,nan,9013.0,nan,nan,3845.0,nan,3947.0,nan,nan,nan,nan,27724.0,28693.0,33375.0
Snow College,Ephraim,UT,84627,1,12322.0,nan,3912.0,13156.0,nan,1000.0,8564.0,nan,1.0,nan,0.8333,31813.0,32369.0,37439.0
Southern Utah University,Cedar City,UT,84720,1,19854.0,nan,6770.0,20586.0,nan,1600.0,13578.0,nan,0.7567,0.7556,0.2204,36702.0,39977.0,47456.0
Stevens-Henager College,West Haven,UT,84401,2,29757.0,nan,16600.0,16600.0,nan,0.0,nan,24815.0,0.36,nan,0.2258,26923.0,28587.0,31807.0
